percent	ang_W	r	phase	choose_angle	delta_1_x_3	delta_2_x_1	delta_3_x_2	delta_3_x_1	delta_1_x_2	delta_2_x_3
31.25	-2.356	51.000	0.000	-2.350	-1.888	2.366	-2.350	-2.301	-2.366	0.255
31.94	-2.269	51.000	0.000	-2.318	-1.713	2.256	-2.318	-2.476	-2.256	0.224
32.64	-2.182	51.000	0.000	-2.256	-1.672	2.162	-2.256	-2.517	-2.162	0.161
33.33	-2.094	51.000	0.000	-2.017	0.881	2.027	-2.007	1.213	-2.027	-0.087
34.03	-2.007	51.000	0.000	-1.977	-1.770	1.977	-2.032	-2.419	-1.977	-0.062
34.72	-1.920	51.000	0.000	-1.912	0.767	1.945	-1.879	1.328	-1.945	-0.215
35.42	-1.833	51.000	0.000	-1.904	-1.729	1.904	-1.966	-2.460	-1.904	-0.129
36.11	-1.745	51.000	0.000	-1.632	0.837	1.716	-1.549	1.257	-1.716	-0.546
36.81	-1.658	51.000	0.000	-1.646	-1.516	1.646	-1.752	-2.673	-1.646	-0.343
37.50	-1.571	51.000	0.000	-1.600	-1.614	1.600	-1.587	-2.574	-1.600	-0.508
38.19	-1.484	51.000	0.000	-1.446	-1.296	1.446	-1.653	-2.893	-1.446	-0.441
38.89	-1.396	51.000	0.000	-1.461	-1.480	1.461	-1.432	-2.709	-1.461	-0.662
39.58	-1.309	51.000	0.000	-1.271	-1.329	1.307	-1.236	-2.860	-1.307	-0.859
40.28	-1.222	51.000	0.000	-1.255	-1.271	1.265	-1.245	-2.918	-1.265	-0.849
40.97	-1.134	51.000	0.000	-1.096	-1.122	1.070	2.389	-3.067	-1.070	1.800
41.67	-1.047	51.000	0.000	-1.025	-1.060	0.990	2.443	-3.128	-0.990	1.746
42.36	-0.960	51.000	0.000	0.909	-0.999	0.909	2.476	3.093	-0.909	1.712
43.06	-0.873	51.000	0.000	-0.844	-0.844	0.830	-1.193	2.938	-0.830	-0.901
43.75	-0.785	51.000	0.000	-0.681	-0.727	0.636	2.212	2.822	-0.636	1.977
44.44	-0.698	51.000	0.000	-0.651	-0.651	0.813	-1.666	2.746	-0.813	-0.428
45.14	-0.611	51.000	0.000	-0.616	-0.616	0.544	-1.370	2.711	-0.544	-0.724
45.83	-0.524	51.000	0.000	-0.524	-0.524	0.377	-1.422	2.619	-0.377	-0.673
