percent	ang_W	r	phase	choose_angle	delta_1_x_5	delta_2_x_1	delta_3_x_2	delta_4_x_3	delta_5_x_4	delta_5_x_1	delta_1_x_2	delta_2_x_3	delta_3_x_4	delta_4_x_5
9.72	1.222	51.000	0.000	1.159	0.097	1.130	1.252	1.367	-2.487	1.159	2.640	-1.252	1.146	1.230
10.42	1.309	51.000	0.000	1.326	0.013	1.326	1.248	1.513	-2.588	1.243	2.444	-1.248	1.000	1.332
11.11	1.396	51.000	0.000	1.362	-0.091	1.318	1.376	1.577	-2.669	1.348	2.452	-1.376	0.936	1.413
11.81	1.484	51.000	0.000	1.491	-0.163	1.491	1.422	1.642	-2.784	1.420	2.279	-1.422	0.871	1.527
12.50	1.571	51.000	0.000	1.543	-0.286	1.534	1.580	1.489	-2.825	1.543	2.236	-1.580	1.025	1.568
13.19	1.658	51.000	0.000	1.699	-0.445	1.804	1.699	1.657	-2.948	1.702	1.966	-1.699	0.856	1.691
13.89	1.745	51.000	0.000	1.737	-0.545	-0.935	1.696	1.769	-2.962	1.802	-1.578	-1.696	0.745	1.705
14.58	1.833	51.000	0.000	1.830	-0.635	-1.022	1.819	1.840	-3.034	1.892	-1.492	-1.819	0.673	1.777
15.28	1.920	51.000	0.000	1.966	-0.698	-1.135	1.979	1.924	3.049	1.955	-1.378	-1.979	0.590	1.978
15.97	2.007	51.000	0.000	2.032	-0.775	1.601	2.008	2.033	3.092	2.032	2.169	-2.008	0.480	1.935
16.67	2.094	51.000	0.000	2.103	-0.846	-1.050	2.144	1.990	2.923	2.102	-1.464	-2.144	0.523	2.103
17.36	2.182	51.000	0.000	2.144	-0.942	1.774	2.197	2.122	2.883	2.198	1.996	-2.197	0.392	2.144
18.06	2.269	51.000	0.000	2.313	-1.077	-1.148	2.291	2.252	2.677	2.334	-1.365	-2.291	0.262	2.349
18.75	2.356	51.000	0.000	2.325	-1.146	1.445	2.482	2.235	2.878	2.403	2.325	-2.482	0.278	2.148
19.44	2.443	51.000	0.000	2.416	-1.103	1.311	2.382	2.450	-0.898	2.360	2.459	-2.382	0.063	-0.359
20.14	2.531	51.000	0.000	2.427	-1.192	1.398	2.404	2.535	-1.054	2.449	2.372	-2.404	-0.022	-0.202
20.83	2.618	51.000	0.000	2.589	-1.336	1.185	2.634	2.584	-0.798	2.592	2.585	-2.634	-0.071	-0.459
21.53	2.705	51.000	0.000	2.708	-1.483	1.076	2.561	2.723	2.948	2.740	2.694	-2.561	-0.209	2.079
22.22	2.793	51.000	0.000	2.793	-1.551	0.935	0.140	2.780	2.748	2.807	2.835	-0.140	-0.266	2.279
