percent	ang_W	r	phase	choose_angle	choose_angle_GN	delta_1_x_3	delta_2_x_1	delta_3_x_2	delta_3_x_1	delta_1_x_2	delta_2_x_3
35.42	-1.833	51.000	0.000	-1.821	-3.069	-1.699	1.821	-1.876	-2.490	-1.821	-0.218
36.11	-1.745	51.000	0.000	-1.633	1.759	-1.696	1.633	-1.584	-2.493	-1.633	-0.511
36.81	-1.658	51.000	0.000	-1.631	-1.428	-1.681	1.631	-1.592	-2.507	-1.631	-0.503
37.50	-1.571	51.000	0.000	1.537	-2.281	-1.772	1.537	-1.236	-2.417	-1.537	-0.859
38.19	-1.484	51.000	0.000	-1.498	0.420	-1.468	1.498	-1.535	-2.721	-1.498	-0.559
38.89	-1.396	51.000	0.000	-1.423	0.813	-1.325	1.423	-1.572	-2.864	-1.423	-0.522
39.58	-1.309	51.000	0.000	-1.328	0.769	-1.278	1.328	-1.437	-2.911	-1.328	-0.657
40.28	-1.222	51.000	0.000	-1.146	-0.204	-1.226	1.210	-1.083	-2.963	-1.210	-1.011
40.97	-1.134	51.000	0.000	-1.177	-1.556	-1.203	1.150	2.366	-2.985	-1.150	1.823
41.67	-1.047	51.000	0.000	-1.039	-1.785	-1.055	1.023	2.330	-3.134	-1.023	1.859
42.36	-0.960	51.000	0.000	-0.927	3.122	-0.889	0.877	-1.129	2.983	-0.877	-0.965
43.06	-0.873	51.000	0.000	-0.849	-1.600	-0.869	0.829	2.263	2.964	-0.829	1.926
43.75	-0.785	51.000	0.000	-0.791	2.363	-0.791	0.780	-1.271	2.885	-0.780	-0.824
44.44	-0.698	51.000	0.000	-0.633	-1.887	-0.633	0.713	-1.572	2.727	-0.713	-0.522
45.14	-0.611	51.000	0.000	-0.608	-2.657	-0.608	0.513	-1.344	2.703	-0.513	-0.750
45.83	-0.524	51.000	0.000	-0.464	-1.861	-0.464	0.371	-1.557	2.559	-0.371	-0.537
